filename,artist,title,duration_seconds,cover_path,decided_by
Anuv Jain - Gul.mp3,Anuv Jain,Gul,217.296,P:\Web Development\Audora\frontend\public\songs\covers\Anuv_Jain_-_Gul.jpg,tags
"Aparshakti Khurana, Neeti Mohan - Kudiye Ni.mp3",Aparshakti Khurana/Neeti Mohan,Kudiye Ni,204.936,P:\Web Development\Audora\frontend\public\songs\covers\Aparshakti_Khurana__Neeti_Mohan_-_Kudiye_Ni.jpg,tags
Arctic Monkeys - I Wanna Be Yours.mp3,Arctic Monkeys,I Wanna Be Yours,183.984,P:\Web Development\Audora\frontend\public\songs\covers\Arctic_Monkeys_-_I_Wanna_Be_Yours.jpg,tags
Arijit Singh - Main Dhoondne Ko Zamaane Mein (From 'Heartless').mp3,Arijit Singh,"Main Dhoondne Ko Zamaane Mein (From ""Heartless"")",263.016,P:\Web Development\Audora\frontend\public\songs\covers\Arijit_Singh_-_Main_Dhoondne_Ko_Zamaane_Mein__From__Heartless__.jpg,tags
Arijit Singh - Main Dhoondne Ko Zamaane Mein.mp3,Arijit Singh,Main Dhoondne Ko Zamaane Mein,263.016,P:\Web Development\Audora\frontend\public\songs\covers\Arijit_Singh_-_Main_Dhoondne_Ko_Zamaane_Mein.jpg,tags
Arijit Singh - Palat - Tera Hero Idhar Hai (From 'Main Tera Hero').mp3,Arijit Singh,"Palat - Tera Hero Idhar Hai (From ""Main Tera Hero"")",270.72,P:\Web Development\Audora\frontend\public\songs\covers\Arijit_Singh_-_Palat_-_Tera_Hero_Idhar_Hai__From__Main_Tera_Hero__.jpg,tags
Arijit Singh - Uska Hi Banana (From '1920 Evil Returns').mp3,Arijit Singh,"Uska Hi Banana (From ""1920 Evil Returns"")",327.072,P:\Web Development\Audora\frontend\public\songs\covers\Arijit_Singh_-_Uska_Hi_Banana__From__1920_Evil_Returns__.jpg,tags
"Arijit Singh, Chinmayi - Mast Magan (From '2 States').mp3",Arijit Singh/Chinmayi,"Mast Magan (From ""2 States"")",280.2,P:\Web Development\Audora\frontend\public\songs\covers\Arijit_Singh__Chinmayi_-_Mast_Magan__From__2_States__.jpg,tags
"Arijit Singh, Chinmayi - Mast Magan.mp3",Arijit Singh/Chinmayi,Mast Magan,280.2,P:\Web Development\Audora\frontend\public\songs\covers\Arijit_Singh__Chinmayi_-_Mast_Magan.jpg,tags
"Arijit Singh, Harshdeep Kaur - Zaalima.mp3",Arijit Singh/Harshdeep Kaur,Zaalima,299.376,P:\Web Development\Audora\frontend\public\songs\covers\Arijit_Singh__Harshdeep_Kaur_-_Zaalima.jpg,tags
"Arijit Singh, Mithoon - Humdard.mp3",Arijit Singh/Mithoon,Humdard,260.616,P:\Web Development\Audora\frontend\public\songs\covers\Arijit_Singh__Mithoon_-_Humdard.jpg,tags
"Arijit Singh, Mithoon - Tujhe Kitna Chahne Lage (From 'Kabir Singh').mp3",Arijit Singh/Mithoon,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",284.808,P:\Web Development\Audora\frontend\public\songs\covers\Arijit_Singh__Mithoon_-_Tujhe_Kitna_Chahne_Lage__From__Kabir_Singh__.jpg,tags
"Arijit Singh, Mithoon - Tujhe Kitna Chahne Lage.mp3",Arijit Singh/Mithoon,Tujhe Kitna Chahne Lage,284.808,P:\Web Development\Audora\frontend\public\songs\covers\Arijit_Singh__Mithoon_-_Tujhe_Kitna_Chahne_Lage.jpg,tags
"Arijit Singh, Neha Kakkar, Meet Bros. - Main Tera Boyfriend (From 'Raabta').mp3",Arijit Singh/Neha Kakkar/Meet Bros.,"Main Tera Boyfriend (From ""Raabta"")",276.192,P:\Web Development\Audora\frontend\public\songs\covers\Arijit_Singh__Neha_Kakkar__Meet_Bros._-_Main_Tera_Boyfriend__From__Raabta__.jpg,tags
"Arijit Singh, Ram Sampath, Prashant Pandey - Sajni.mp3",Arijit Singh/Ram Sampath/Prashant Pandey,Sajni,170.088,P:\Web Development\Audora\frontend\public\songs\covers\Arijit_Singh__Ram_Sampath__Prashant_Pandey_-_Sajni.jpg,tags
